order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1029,743,test,1,2,13,0
2289,743,train ,2,2,15,7
2666,743,train ,3,4,14,2
3799,743,extra test ,4,4,11,21
3897,743,extra test ,5,5,9,1
4630,743,prior,6,5,9,7
5046,743,prior,7,2,16,4
5911,743,prior,8,5,10,10
6256,743,prior,9,2,8,4
6568,743,prior,10,4,10,2
7826,743,prior,11,4,16,14
7827,743,prior,12,4,16,0
8424,743,prior,13,4,12,7
9635,743,prior,14,3,14,13
10367,743,prior,15,4,11,8
11214,743,prior,16,5,10,8
12133,743,prior,17,5,13,7
12628,743,prior,18,3,13,5
13387,743,prior,19,3,10,7
13948,743,prior,20,1,11,5
15286,743,prior,21,3,12,16
16787,743,prior,22,6,14,10
16788,743,prior,23,6,14,0
16988,743,prior,24,2,13,3
18001,743,prior,25,3,10,8
19179,743,prior,26,1,12,12
19451,743,prior,27,3,11,2
20914,743,prior,28,1,12,12
21400,743,prior,29,4,14,3
22693,743,prior,30,4,9,14
23327,743,prior,31,2,15,5
24528,743,prior,32,5,17,10
24531,743,prior,33,5,17,0
25738,743,prior,34,3,14,12
26882,743,prior,35,2,10,13
28594,743,prior,36,4,13,16
28752,743,prior,37,5,11,1
28753,743,prior,38,5,11,0
31015,743,prior,39,3,10,19
31434,743,prior,40,5,12,2
31437,743,prior,41,5,12,0
32663,743,prior,42,6,10,8
33507,743,prior,43,5,15,6
34150,743,prior,44,3,10,5
35528,743,prior,45,4,14,8
36802,743,prior,46,6,9,9
38696,743,prior,47,3,12,11
39991,743,prior,48,2,16,6
40729,743,prior,49,5,16,3
41738,743,prior,50,4,8,6
43761,743,prior,51,5,17,8
44309,743,prior,52,2,14,4
5145,917,test,1,3,16,0
9326,917,train ,2,1,12,30
10178,917,extra test,3,2,15,8
11292,917,prior,4,5,12,10
11824,917,prior,5,3,15,5
12496,917,prior,6,2,13,6
14257,917,prior,7,3,13,15
14551,917,prior,8,5,13,2
14807,917,prior,9,3,16,5
15353,917,prior,10,3,15,7
16638,917,prior,11,5,15,9
16639,917,prior,12,5,15,0
17338,917,prior,13,4,14,6
18234,917,prior,14,4,11,7
18896,917,prior,15,4,15,7
20700,917,prior,16,5,15,15
20704,917,prior,17,5,15,0
22097,917,prior,18,4,15,13
22804,917,prior,19,4,17,7
23523,917,prior,20,4,11,7
25983,917,prior,21,5,12,22
26667,917,prior,22,5,14,7
27835,917,prior,23,3,17,12
30241,917,prior,24,3,16,21
32673,917,prior,25,6,10,17
33154,917,prior,26,3,14,4
34286,917,prior,27,3,13,7
35709,917,prior,28,5,13,9
36382,917,prior,29,3,16,5
36706,917,prior,30,5,13,2
41894,917,prior,31,4,13,27
42783,917,prior,32,2,13,5
43616,917,prior,33,5,11,3
45043,917,prior,34,5,13,7
9941,1710,train ,1,5,16,0
10545,1710,extra test,2,5,19,7
11341,1710,test,3,5,18,7
12147,1710,prior,4,5,15,7
13933,1710,prior,5,6,15,15
15875,1710,prior,6,6,16,21
16460,1710,prior,7,4,13,5
17573,1710,prior,8,6,10,9
18475,1710,prior,9,5,17,6
19742,1710,prior,10,4,16,13
22524,1710,prior,11,2,15,26
24368,1710,prior,12,4,14,16
25905,1710,prior,13,4,16,14
26475,1710,prior,14,3,16,6
27995,1710,prior,15,4,16,15
30789,1710,prior,16,6,16,23
33127,1710,prior,17,3,13,18
35348,1710,prior,18,3,16,14
38195,1710,prior,19,6,15,17
42146,1710,prior,20,5,13,20
45036,1710,prior,21,5,13,14
4856,1810,test,1,6,14,0
6750,1810,train ,2,5,13,20
7464,1810,train ,3,2,9,11
7710,1810,extra test,4,3,14,1
7711,1810,extra test,5,3,14,0
8326,1810,prior,6,4,8,8
8956,1810,prior,7,3,14,6
9808,1810,prior,8,5,10,9
9848,1810,prior,9,5,11,0
9849,1810,prior,10,5,11,0
9899,1810,prior,11,5,15,0
10296,1810,prior,12,3,14,5
12354,1810,prior,13,2,8,20
13938,1810,prior,14,1,10,13
14254,1810,prior,15,3,13,2
15674,1810,prior,16,6,8,17
16842,1810,prior,17,2,8,10
19286,1810,prior,18,2,13,21
20563,1810,prior,19,4,14,9
20564,1810,prior,20,4,14,0
21395,1810,prior,21,4,13,7
21703,1810,prior,22,6,15,2
21705,1810,prior,23,6,15,0
22053,1810,prior,24,4,10,5
23677,1810,prior,25,5,14,15
24081,1810,prior,26,3,9,5
24082,1810,prior,27,3,9,0
25537,1810,prior,28,1,15,12
26571,1810,prior,29,4,17,10
26991,1810,prior,30,2,14,5
27194,1810,prior,31,4,13,2
27195,1810,prior,32,4,13,0
29048,1810,prior,33,1,11,18
29111,1810,prior,34,2,10,1
29112,1810,prior,35,2,10,0
29384,1810,prior,36,3,12,1
29385,1810,prior,37,3,12,0
29552,1810,prior,38,4,16,1
32646,1810,prior,39,6,7,23
33889,1810,prior,40,2,9,10
34336,1810,prior,41,4,9,2
34765,1810,prior,42,6,10,2
34949,1810,prior,43,2,10,3
34950,1810,prior,44,2,10,0
35198,1810,prior,45,3,10,1
35760,1810,prior,46,6,8,3
38477,1810,prior,47,2,11,17
39371,1810,prior,48,6,8,4
40238,1810,prior,49,3,15,4
40289,1810,prior,50,4,10,1
43189,1810,prior,51,4,10,14
2010,1813,test,1,1,11,0
11546,1813,train ,2,2,12,30
19194,1813,extra test,3,1,14,30
21494,1813,prior,4,5,11,18
23530,1813,prior,5,4,12,20
23995,1813,prior,6,2,11,5
29177,1813,prior,7,2,12,30
30847,1813,prior,8,2,11,14
35315,1813,prior,9,3,13,29
36976,1813,prior,10,1,11,12
41140,1813,prior,11,1,12,21
3127,2300,test,1,2,10,0
3367,2300,train ,2,3,15,1
4842,2300,train ,3,6,12,24
5206,2300,train ,4,4,12,5
5244,2300,extra test,5,5,9,1
5347,2300,extra test,6,6,11,1
7023,2300,extra test,7,3,9,18
8115,2300,prior,8,2,10,13
8116,2300,prior,9,2,10,0
8308,2300,prior,10,3,15,1
11432,2300,prior,11,6,12,30
11646,2300,prior,12,3,11,4
11647,2300,prior,13,3,11,0
11847,2300,prior,14,4,9,1
12605,2300,prior,15,3,11,6
12606,2300,prior,16,3,11,0
14981,2300,prior,17,5,9,23
16481,2300,prior,18,4,14,13
16482,2300,prior,19,4,14,0
16518,2300,prior,20,5,10,1
16519,2300,prior,21,5,10,0
17318,2300,prior,22,4,13,6
18278,2300,prior,23,4,12,7
18463,2300,prior,24,5,15,1
18796,2300,prior,25,4,9,6
18800,2300,prior,26,4,10,0
20899,2300,prior,27,1,11,18
20964,2300,prior,28,2,9,1
21898,2300,prior,29,3,8,8
21899,2300,prior,30,3,8,0
21947,2300,prior,31,3,11,0
24346,2300,prior,32,4,12,22
26425,2300,prior,33,3,13,20
26426,2300,prior,34,3,13,0
26712,2300,prior,35,5,16,2
26801,2300,prior,36,6,12,1
27805,2300,prior,37,3,13,11
28286,2300,prior,38,6,14,3
28287,2300,prior,39,6,14,0
28288,2300,prior,40,6,14,0
29603,2300,prior,41,5,11,13
29611,2300,prior,42,5,11,0
30193,2300,prior,43,3,11,5
30916,2300,prior,44,2,11,6
30926,2300,prior,45,2,11,0
31431,2300,prior,46,5,11,3
33355,2300,prior,47,5,9,14
33356,2300,prior,48,5,9,0
35671,2300,prior,49,5,12,14
35687,2300,prior,50,5,12,0
35688,2300,prior,51,5,12,0
35759,2300,prior,52,6,8,1
35869,2300,prior,53,6,14,0
35872,2300,prior,54,6,14,0
36638,2300,prior,55,5,12,6
36639,2300,prior,56,5,12,0
36640,2300,prior,57,5,12,0
37692,2300,prior,58,4,14,6
37694,2300,prior,59,4,14,0
37695,2300,prior,60,4,14,0
39144,2300,prior,61,5,10,8
39146,2300,prior,62,5,10,0
39345,2300,prior,63,5,17,0
40300,2300,prior,64,4,11,6
40962,2300,prior,65,6,14,2
41670,2300,prior,66,3,13,4
41776,2300,prior,67,4,10,1
41777,2300,prior,68,4,11,0
41779,2300,prior,69,4,11,0
44811,2300,prior,70,4,15,14
44812,2300,prior,71,4,15,0
44974,2300,prior,72,5,12,1
1328,2450,test,1,4,10,0
2169,2450,train ,2,2,10,5
5508,2450,extra test,3,2,9,30
7289,2450,prior,4,6,10,18
8112,2450,prior,5,2,9,10
9223,2450,prior,6,6,9,11
11366,2450,prior,7,6,11,21
13832,2450,prior,8,6,10,21
15687,2450,prior,9,6,10,21
21120,2450,prior,10,2,14,30
23308,2450,prior,11,2,14,21
24831,2450,prior,12,2,13,14
27892,2450,prior,13,4,10,30
29318,2450,prior,14,3,10,13
34819,2450,prior,15,6,11,30
40674,2450,prior,16,5,13,30
45061,2450,prior,17,5,15,21
1461,2659,test,1,4,14,0
2646,2659,train ,2,4,13,7
4169,2659,extra test,3,1,14,25
6656,2659,prior,4,4,14,24
9195,2659,prior,5,5,15,29
10173,2659,prior,6,2,14,11
12881,2659,prior,7,5,11,24
12881,2659,prior,7,5,12,24
13669,2659,prior,9,5,11,7
14920,2659,prior,10,4,14,13
15623,2659,prior,11,5,14,8
17158,2659,prior,12,3,14,12
18448,2659,prior,13,5,13,9
19200,2659,prior,14,1,15,10
20548,2659,prior,15,4,13,10
22174,2659,prior,16,5,12,15
23660,2659,prior,17,5,13,14
24578,2659,prior,18,6,11,8
25977,2659,prior,19,5,12,13
27823,2659,prior,20,3,15,19
29114,2659,prior,21,2,11,13
30483,2659,prior,22,5,11,10
31453,2659,prior,23,5,12,7
33747,2659,prior,24,6,12,15
34667,2659,prior,25,5,12,6
36502,2659,prior,26,4,13,13
38675,2659,prior,27,3,11,13
39701,2659,prior,28,1,15,5
42081,2659,prior,29,5,12,11
762,5772,test,1,1,12,0
1886,5772,train ,2,6,12,5
5121,5772,extra test,3,3,13,30
6945,5772,prior,4,2,12,20
7304,5772,prior,5,6,11,4
8985,5772,prior,6,4,11,19
10102,5772,prior,7,2,11,12
11285,5772,prior,8,5,12,10
11531,5772,prior,9,2,10,4
12199,5772,prior,10,6,10,4
13179,5772,prior,11,1,11,9
15375,5772,prior,12,4,10,24
16457,5772,prior,13,4,12,7
16987,5772,prior,14,2,13,5
19267,5772,prior,15,2,12,21
20846,5772,prior,16,6,11,11
21612,5772,prior,17,6,10,7
23761,5772,prior,18,6,10,21
29807,5772,prior,19,6,12,30
31682,5772,prior,20,6,12,14
35290,5772,prior,21,3,12,25
35828,5772,prior,22,6,11,3
36492,5772,prior,23,4,12,5
39392,5772,prior,24,6,10,16
41074,5772,prior,25,1,11,9
3986,5937,test,1,5,14,0
5490,5937,train ,2,1,14,17
8715,5937,extra test,3,2,10,30
14593,5937,prior,4,5,16,30
17793,5937,prior,5,2,11,30
20367,5937,prior,6,3,11,22
21592,5937,prior,7,5,19,9
23661,5937,prior,8,5,13,21
23668,5937,prior,9,5,13,0
29215,5937,prior,10,2,12,30
36729,5937,prior,11,5,14,30
39304,5937,prior,12,5,14,14
39311,5937,prior,13,5,15,0
41898,5937,prior,14,4,13,13
43309,5937,prior,15,4,12,7
44508,5937,prior,16,3,12,6
